Dx4,Fx4,Dx3,Fx3,Dx2,Fx2,Dx1.5,Fx1.5,Dx1.2,Fx1.2,Dx1,Fx1,Dx0.75,Fx0.75,Dx0.5625,Fx0.5625,DxAbq,FxAbq
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.076691,102,0.0508689,55,0.0290814,26,0.0199579,15,0.015045,10,0.0121646,10,0.00903902,7,0.00661927,3,0.100002,61
0.153382,202,0.101738,114,0.0581628,50,0.0399159,33,0.0300899,25,0.0243293,19,0.018078,13,0.0132385,8,0.200003,122
0.230073,297,0.152607,165,0.0872442,77,0.0598738,45,0.0451349,34,0.0364939,28,0.0271171,17,0.0198578,12,0.299994,182
0.306764,397,0.203476,225,0.116326,102,0.0798318,65,0.0601799,45,0.0486585,35,0.0361561,26,0.0264771,16,0.400007,242
0.383455,502,0.254344,278,0.145407,129,0.0997897,77,0.0752249,59,0.0608232,43,0.0451951,29,0.0330964,20,0.5,302
0.460146,601,0.305213,333,0.174488,154,0.119748,95,0.0902698,65,0.0729878,51,0.0542341,38,0.0397156,23,0.599987,362
0.536837,700,0.356082,392,0.20357,181,0.139706,110,0.105315,80,0.0851524,60,0.0632731,45,0.0463349,29,0.699992,422
0.613528,804,0.406951,446,0.232651,205,0.159664,126,0.12036,92,0.097317,69,0.0723122,51,0.0529542,33,0.800013,481
0.650033,853,0.45782,502,0.261733,232,0.179621,143,0.135405,100,0.109482,80,0.0813512,54,0.0595735,37,0.900016,540
,,0.508689,560,0.290814,255,0.199579,157,0.15045,117,0.121646,90,0.0903902,65,0.0661927,41,1,599
,,0.559558,614,0.319895,284,0.219537,176,0.165495,125,0.133811,100,0.0994292,67,0.072812,45,1.04403,624
,,0.610427,670,0.348977,304,0.239495,189,0.18054,135,0.145976,110,0.108468,76,0.0794313,47,1.04403,0
,,0.650003,713,0.378058,336,0.259453,206,0.195585,148,0.15814,119,0.117507,80,0.0860506,53,,
,,,,0.40714,357,0.279411,221,0.21063,156,0.170305,128,0.126546,88,0.0926698,56,,
,,,,0.436221,384,0.299369,234,0.225675,171,0.182469,133,0.135585,93,0.0992891,59,,
,,,,0.465302,410,0.319327,253,0.24072,181,0.194634,143,0.144624,102,0.105908,62,,
,,,,0.494384,437,0.339285,266,0.255765,191,0.206799,150,0.153663,107,0.112528,68,,
,,,,0.523465,461,0.359243,284,0.270809,205,0.218963,159,0.162702,113,0.119147,71,,
,,,,0.552547,489,0.379201,299,0.285854,217,0.231128,168,0.171741,119,0.125766,77,,
,,,,0.581628,514,0.399159,315,0.300899,225,0.243293,181,0.18078,127,0.132385,79,,
,,,,0.610709,541,0.419117,330,0.315944,239,0.255457,188,0.189819,131,0.139005,83,,
,,,,0.639791,565,0.439075,344,0.330989,248,0.267622,198,0.198858,139,0.145624,87,,
,,,,0.649998,574,0.459033,363,0.346034,259,0.279787,207,0.207897,146,0.152243,91,,
,,,,,,0.478991,376,0.361079,275,0.291951,213,0.216937,150,0.158863,94,,
,,,,,,0.498948,395,0.376124,282,0.304116,220,0.225976,160,0.165482,97,,
,,,,,,0.518906,409,0.391169,297,0.31628,231,0.235015,163,0.172101,101,,
,,,,,,0.538864,424,0.406214,309,0.328445,240,0.244054,171,0.17872,104,,
,,,,,,0.558822,442,0.421259,316,0.34061,249,0.253093,176,0.18534,110,,
,,,,,,0.57878,455,0.436304,329,0.352774,259,0.262132,184,0.191959,112,,
,,,,,,0.598738,475,0.451349,341,0.364939,271,0.271171,188,0.198578,116,,
,,,,,,0.618696,490,0.466394,351,0.377104,279,0.28021,199,0.205197,121,,
,,,,,,0.638654,506,0.481439,365,0.389268,289,0.289249,202,0.211817,125,,
,,,,,,0.64999,515,0.496484,377,0.401433,296,0.298288,211,0.218436,130,,
,,,,,,,,0.511529,384,0.413597,304,0.307327,215,0.225055,134,,
,,,,,,,,0.526574,400,0.425762,312,0.316366,223,0.231675,137,,
,,,,,,,,0.541619,408,0.437927,321,0.325405,228,0.238294,140,,
,,,,,,,,0.556664,420,0.450091,332,0.334444,235,0.244913,145,,
,,,,,,,,0.571709,434,0.462256,343,0.343483,243,0.251532,149,,
,,,,,,,,0.586754,443,0.474421,351,0.352522,247,0.258152,153,,
,,,,,,,,0.601799,455,0.486585,360,0.361561,254,0.264771,157,,
,,,,,,,,0.616844,469,0.49875,369,0.3706,260,0.27139,159,,
,,,,,,,,0.631889,477,0.510914,377,0.379639,267,0.278009,165,,
,,,,,,,,0.646934,488,0.523079,384,0.388678,274,0.284629,169,,
,,,,,,,,0.650003,492,0.535244,393,0.397717,282,0.291248,174,,
,,,,,,,,,,0.547408,402,0.406756,284,0.297867,178,,
,,,,,,,,,,0.559573,412,0.415795,295,0.304487,182,,
,,,,,,,,,,0.571738,421,0.424834,298,0.311106,185,,
,,,,,,,,,,0.583902,432,0.433873,305,0.317725,190,,
,,,,,,,,,,0.596067,441,0.442912,311,0.324344,195,,
,,,,,,,,,,0.608232,449,0.451951,319,0.330964,197,,
,,,,,,,,,,0.620396,454,0.46099,323,0.337583,201,,
,,,,,,,,,,0.632561,465,0.470029,332,0.344202,205,,
,,,,,,,,,,0.644725,473,0.479068,336,0.350822,209,,
,,,,,,,,,,0.649993,479,0.488107,343,0.357441,212,,
,,,,,,,,,,,,0.497146,352,0.36406,217,,
,,,,,,,,,,,,0.506185,356,0.370679,219,,
,,,,,,,,,,,,0.515224,364,0.377299,222,,
,,,,,,,,,,,,0.524263,368,0.383918,227,,
,,,,,,,,,,,,0.533302,376,0.390537,231,,
,,,,,,,,,,,,0.542341,382,0.397156,235,,
,,,,,,,,,,,,0.55138,390,0.403776,239,,
,,,,,,,,,,,,0.560419,392,0.410395,242,,
,,,,,,,,,,,,0.569458,402,0.417014,246,,
,,,,,,,,,,,,0.578497,406,0.423634,250,,
,,,,,,,,,,,,0.587536,414,0.430253,254,,
,,,,,,,,,,,,0.596575,420,0.436872,257,,
,,,,,,,,,,,,0.605614,427,0.443491,262,,
,,,,,,,,,,,,0.614653,433,0.450111,263,,
,,,,,,,,,,,,0.623692,440,0.45673,268,,
,,,,,,,,,,,,0.632731,446,0.463349,273,,
,,,,,,,,,,,,0.64177,451,0.469968,278,,
,,,,,,,,,,,,0.649996,456,0.476588,280,,
,,,,,,,,,,,,,,0.483207,284,,
,,,,,,,,,,,,,,0.489826,290,,
,,,,,,,,,,,,,,0.496446,295,,
,,,,,,,,,,,,,,0.503065,300,,
,,,,,,,,,,,,,,0.509684,304,,
,,,,,,,,,,,,,,0.516303,307,,
,,,,,,,,,,,,,,0.522923,312,,
,,,,,,,,,,,,,,0.529542,316,,
,,,,,,,,,,,,,,0.536161,321,,
,,,,,,,,,,,,,,0.54278,325,,
,,,,,,,,,,,,,,0.5494,328,,
,,,,,,,,,,,,,,0.556019,332,,
,,,,,,,,,,,,,,0.562638,335,,
,,,,,,,,,,,,,,0.569258,340,,
,,,,,,,,,,,,,,0.575877,343,,
,,,,,,,,,,,,,,0.582496,348,,
,,,,,,,,,,,,,,0.589115,351,,
,,,,,,,,,,,,,,0.595735,355,,
,,,,,,,,,,,,,,0.602354,358,,
,,,,,,,,,,,,,,0.608973,363,,
,,,,,,,,,,,,,,0.615592,367,,
,,,,,,,,,,,,,,0.622212,371,,
,,,,,,,,,,,,,,0.628831,373,,
,,,,,,,,,,,,,,0.63545,378,,
,,,,,,,,,,,,,,0.64207,382,,
,,,,,,,,,,,,,,0.648689,385,,
,,,,,,,,,,,,,,0.655308,389,,
,,,,,,,,,,,,,,0.661927,393,,
,,,,,,,,,,,,,,0.668547,397,,
,,,,,,,,,,,,,,0.675166,400,,
,,,,,,,,,,,,,,0.681785,405,,
,,,,,,,,,,,,,,0.688404,408,,
,,,,,,,,,,,,,,0.695024,412,,
,,,,,,,,,,,,,,0.700001,417,,
